article_number,article_raw
1,"Artículo 1. Reconoce que todas las personas gozarán de los derechos humanos reconocidos en la Constitución y en los tratados internacionales firmados por el Estado mexicano y que no podrán suspenderse salvo en los casos y bajo las condiciones establecidas en la misma Constitución; obliga a las autoridades mexicanas a respetar y proteger los derechos humanos y además, prevenir, sancionar y reparar las violaciones a los derechos humanos. Prohíbe la esclavitud en el país y protege a los esclavos que ingresen a territorio nacional. Prohíbe todo tipo de discriminación."
2,"Artículo 2. Señala que la nación mexicana es única e indivisible. Establece que la nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas. Describe, protege y otorga derechos a los pueblos indígenas, y establece su derecho de organización social, económica, política y cultural."
3,"Artículo 3. Garantiza el derecho de los mexicanos a recibir educación, la cual tiene que ser laica, gratuita, democrática, nacional y de calidad. Obliga a la Federación, a los Estados, y a los Municipios, a impartir la educación primaria, secundaria, media superior y superior."
4,"Artículo 4. Establece la igualdad del varón y la mujer ante la ley. Referente a la familia, establece diversos derechos de salud y vivienda, alimentación y esparcimiento."
5,"Artículo 5. Señala que a ninguna persona podrá impedirse que se dedique a la profesión, industria, comercio o trabajo que le acomode, siendo lícitos."
6,"Artículo 6. Libertad de expresión. Establece los límites a este derecho. Otorga el derecho a acceder a la información pública, y establece el proceso por el cual el Estado Mexicano está obligado a garantizar el acceso a las Tecnologías de la Información y Comunicación, así como a los servicios de banda ancha e internet."
7,Artículo 7. Sobre la Libertad de prensa.
8,Artículo 8. Sobre el Derecho de petición.
9,Artículo 9. Establece el Derecho de asociación para fines lícitos y únicamente permitidos a los ciudadanos de la república.
10,Artículo 10. Derecho a poseer armas para seguridad y legítima defensa.
11,Artículo 11. Sobre la Libertad de tránsito en la República y el derecho de asilo político.
12,Artículo 12. Prohibición de títulos nobiliarios.
13,Artículo 13. Prohibición de Leyes y tribunales privativos.
14,Artículo 14. Irretroactividad de la norma y el derecho al debido proceso; también establece diversas disposiciones jurídicas.
15,"Artículo 15. Prohíbe la extradición hacia otros países de personas que tuvieran la condición de esclavos, o cuando en el país de origen estas personas hayan sufrido violaciones a sus derechos humanos."
16,"Artículo 16. Garantía de legalidad, inviolabilidad del domicilio y el correo así como el debido proceso legal; establece diversas disposiciones en materia penal."
17,"Artículo 17. Garantía de justicia gratuita, legal y expedita."
18,Artículo 18. Garantías de los reos sentenciados y establecimiento del sistema penal.
19,Artículo 19. Garantías del procedimiento penal para el indiciado.
20,Artículo 20. Garantías del procedimiento penal para el inculpado y la víctima u ofendido.
21,Artículo 21. Garantías del procedimiento penal dentro del juicio.
22,"Artículo 22. Prohíbe las penas de muerte, de mutilación, de infamia, la marca, los azotes, los palos, el tormento de cualquier especie y la multa excesiva. Establece bajo qué circunstancias podrá aplicarse la confiscación de bienes."
23,Artículo 23. Garantías de que un juicio penal no puede tener más de tres instancias.
24,Artículo 24. Libertad de culto
25,Artículo 25. Rectoría económica del Estado.
26,Artículo 26. Establecimiento de planes de gobierno.
27,"Artículo 27. Pertenecen a la nación las tierras, aguas y recursos naturales comprendidas dentro de los límites del territorio nacional, ya sea debajo o encima de la tierra. Regula el manejo de las tierras y recursos de la Nación."
28,Artículo 28. Prohibición de monopolios.
29,Artículo 29. Casos de suspensión de las garantías individuales.
30,Artículo 30. Referente a la nacionalidad mexicana.
31,Artículo 31. Obligaciones de los Mexicanos.
32,Artículo 32. Derechos de los Mexicanos por nacimiento y de los que adquieren la doble nacionalidad.
33,Artículo 33. Referente a los extranjeros.
34,Artículo 34. Referente a los ciudadanos mexicanos.
